site,tomst_id,runid,start_date,end_date,probl
1,94194324,1,2019-06-10,2019-07-09,2
2,94194338,3,2019-06-11,2019-07-12,2
3,94194207,5,2019-06-10,2019-07-11,2
4,94194319,7,2019-06-10,2019-07-09,2
5,94194296,9,2019-06-10,2019-07-10,2
6,94194322,11,2019-06-10,2019-07-10,2
7,94194336,13,2019-06-11,2019-07-12,2
8,94194298,15,2019-06-10,2019-07-10,2
10,94194316,17,2019-06-10,2019-07-09,2
11,94194294,19,2019-06-10,2019-07-11,2
12,94194318,21,2019-06-10,2019-07-10,2
12,94194318,23,2020-09-19,2021-07-05,1
13,94194329,25,2019-06-10,2019-07-09,2
14,94194201,27,2019-06-10,2019-07-11,2
15,94194315,29,2019-06-10,2019-07-09,2
15,94194315,31,2022-07-12,2022-09-29,1
16,94194335,32,2019-06-11,2019-07-12,2
17,94194295,34,2019-06-10,2019-07-10,2
18,94194300,36,2019-06-10,2019-07-10,2
19,94194328,38,2019-06-10,2019-07-09,2
20,94194312,40,2019-06-10,2019-07-09,2
21,94194321,42,2019-06-10,2019-07-10,2
22,94194327,44,2019-06-10,2019-07-09,2
23,94194311,46,2019-06-10,2019-07-09,2
25,94194210,48,2019-06-10,2019-07-12,2
26,94194320,50,2019-06-10,2019-07-09,2
27,94194203,52,2019-06-10,2019-07-11,2
28,94194206,54,2019-06-10,2019-07-11,2
29,94194202,56,2019-06-10,2019-07-11,2
30,94194314,58,2019-06-10,2019-07-09,2
31,94194333,60,2019-06-11,2019-07-12,2
32,94194323,62,2019-06-10,2019-07-10,2
33,94194313,64,2019-06-10,2019-07-09,2
35,94194421,66,2019-07-10,2019-09-24,2
36,94194331,68,2019-06-11,2019-07-10,2
37,94194292,70,2019-06-10,2019-07-10,2
37,94194292,72,2020-06-16,2020-07-17,1
38,94194337,74,2019-06-11,2019-07-12,2
39,94194299,76,2019-06-10,2019-07-10,2
39,94212876,78,2021-04-30,2021-07-07,2
40,94194205,80,2019-06-10,2019-07-11,2
41,94190043,82,2019-09-04,2019-09-24,2
42,94212877,84,2021-04-30,2021-07-03,2
42,94212877,86,2021-07-09,2022-10-02,8
44,94194293,87,2019-06-10,2019-07-10,2
45,94194297,89,2019-06-10,2019-07-10,2
45,94194297,91,2020-10-06,2021-07-07,1
46,94194209,93,2019-06-10,2019-07-11,2
47,94194204,95,2019-06-10,2019-07-11,2
48,94194332,97,2019-06-11,2019-07-10,2
50,94194334,99,2019-06-11,2019-07-12,2
51,94194208,101,2019-06-10,2019-07-11,2
52,94194340,103,2019-06-11,2019-07-12,2
53,94194291,105,2019-06-10,2019-07-11,2
54,94194339,107,2019-06-11,2019-07-12,2
55,94194325,109,2019-06-10,2019-07-09,2
